aktualizacja_bledy.txt, 0, SYM3, 2021.12.2, 14, Zaktualizowany,07/02/2022 22:41:58,
aktualizacja_bledy.txt, 1, SYM4, 2021.1.3, 23, Zaktualizowany,07/02/2022 22:41:58,
aktualizacja_bledy.txt, 2, SYM4, 2020.11.4, 43, Zaktualizowany,07/02/2022 22:41:58,
aktualizacja_bledy.txt, 3, SYM3, 2019.3.5, 92, Zaktualizowany,07/02/2022 22:41:58,
aktualizacja_bledy.txt, 4, SYM2, 2021.12.1, 12, Zaktualizowany,07/02/2022 22:41:58,
aktualizacja_bledy.txt, 6, SYM4, 2019.11.3, 22, Zaktualizowany,07/02/2022 22:41:58,
aktualizacja_bledy.txt, 7, SYM5, 2021.12.13, 13, Zaktualizowany,07/02/2022 22:41:58,
aktualizacja_bledy.txt, 8, SYM6, 2019.6.15, 45, Zaktualizowany,07/02/2022 22:41:58,
aktualizacja_bledy.txt, 9, SYM6, 2021.1.16, 25, Zaktualizowany,07/02/2022 22:41:58,
aktualizacja_bledy.txt, 11, SYM2, 2021.5.21, 62, Zaktualizowany,07/02/2022 22:41:58,
aktualizacja_bledy.txt, 12, SYM5, 2019.3.20, 18, Zaktualizowany,07/02/2022 22:41:58,
aktualizacja_bledy.txt, 13, SYM5, 2021.2.22, 22, Zaktualizowany,07/02/2022 22:41:58,
aktualizacja_bledy.txt, 14, SYM3, 2021.12.23, 63, Zaktualizowany,07/02/2022 22:41:58,
aktualizacja_bledy.txt, 15, SYM2, 2020.1.24, 534, Zaktualizowany,07/02/2022 22:41:58,
aktualizacja_bledy.txt, 16, SYM1, 2021.12.25, 73, Zaktualizowany,07/02/2022 22:41:58,
aktualizacja_bledy.txt, 17, SYM2, 2021.10.5, 171, Zaktualizowany,07/02/2022 22:41:58,
aktualizacja_bledy.txt, 18, SYM2, 2021.11.30, 132, Zaktualizowany,07/02/2022 22:41:58,
aktualizacja_bledy.txt, 19, SYM4, 2021.7.16, 351, Zaktualizowany,07/02/2022 22:41:58,
aktualizacja_bledy.txt, 20, SYM4, 2021.5.21, 112, Zaktualizowany,07/02/2022 22:41:58,
aktualizacja_bledy.txt, 21, SYM4, 2019.3.20, 71, Zaktualizowany,07/02/2022 22:41:58,
aktualizacja_bledy.txt, 22, SYM6, 2021.2.22, 36, Zaktualizowany,07/02/2022 22:41:58,
aktualizacja_bledy.txt, 23, SYM2, 2021.10.10, 13, Zaktualizowany,07/02/2022 22:41:58,
aktualizacja_bledy.txt, 25, SYM5, 2021.4.13, 13, Zaktualizowany,07/02/2022 22:41:58,
aktualizacja_bledy.txt, 27, SYM5, 2021.7.22, 22, Zaktualizowany,07/02/2022 22:41:58,
aktualizacja_bledy.txt, 28, SYM2, 2020.1.25, 534, Zaktualizowany,07/02/2022 22:41:58,
aktualizacja_bledy.txt, 30, SYM1, 2020.12.16, 252, Zaktualizowany,07/02/2022 22:41:58,
aktualizacja_bledy.txt, 32, SYM2, 2021.11.3, 132, Zaktualizowany,07/02/2022 22:41:58,
aktualizacja_bledy.txt, 34, SYM5, 2021.1.17, 272, Zaktualizowany,07/02/2022 22:41:58,
aktualizacja_bledy.txt, 35, SYM4, 2021.5.21, 112, Zaktualizowany,07/02/2022 22:41:58,
aktualizacja_bledy.txt, 36, SYM4, 2019.3.20, 71, Zaktualizowany,07/02/2022 22:41:58,
aktualizacja_bledy.txt, 38, SYM7, 2021.12.23, 42, Zaktualizowany,07/02/2022 22:41:58,
aktualizacja_bledy.txt, 39, SYM7, 2020.1.24, 57, Zaktualizowany,07/02/2022 22:41:58,
aktualizacja_bledy.txt, 40, SYM7, 2021.2.15, 31, Zaktualizowany,07/02/2022 22:41:58,
aktualizacja_bledy.txt, 42, SYM1, 2021.9.30, 92, Zaktualizowany,07/02/2022 22:41:58,
basia_kopia.txt, 0, SYM1, 2020.10.10, 100, Nowy wiersz,07/02/2022 22:42:16,
basia_kopia.txt, 1, SYM1, 2020.10.11, 110, Nowy wiersz,07/02/2022 22:42:16,
basia_kopia.txt, 2, SYM1, 2020.10.12, 111, Nowy wiersz,07/02/2022 22:42:16,
basia_kopia.txt, 3, SYM2, 2020.10.12, 113, Nowy wiersz,07/02/2022 22:42:16,
basia_kopia.txt, 4, SYM9, 2020.11.1, 10, Zaktualizowany,07/02/2022 22:42:16,
basia_kopia.txt, 5, SYM9, 2020.11.11, 101, Nowy wiersz,07/02/2022 22:42:16,
basia_kopia.txt, 0, SYM1, 2020.10.10, 100, Pominiêty,07/02/2022 22:44:36,
basia_kopia.txt, 1, SYM1, 2020.10.11, 110, Pominiêty,07/02/2022 22:44:36,
basia_kopia.txt, 2, SYM1, 2020.10.12, 111, Pominiêty,07/02/2022 22:44:36,
basia_kopia.txt, 3, SYM2, 2020.10.12, 113, Pominiêty,07/02/2022 22:44:36,
basia_kopia.txt, 4, SYM9, 2020.11.1, 10, Pominiêty,07/02/2022 22:44:36,
basia_kopia.txt, 5, SYM9, 2020.11.11, 101, Pominiêty,07/02/2022 22:44:36,
update2_1.txt, 0, AEX,20220208, 750.39, Nowy wiersz,08/02/2022 22:17:10,
update2_1.txt, 1, AOR,20220207, 333.0, Pominiêty,08/02/2022 22:17:10,
update2_1.txt, 2, ATH,20220207, 23.0, Pominiêty,08/02/2022 22:17:10,
updatetest.txt, 0, AEX,20220207, 111, Zaktualizowany,09/02/2022 23:43:34,
updatetest.txt, 1, AOR,20220207, 334, Zaktualizowany,09/02/2022 23:43:34,
updatetest.txt, 2, ATH,20220207, 254, Zaktualizowany,09/02/2022 23:43:34,
updatetest.txt, 0, AEX,20220207, 11, Zaktualizowany,09/02/2022 23:44:14,
updatetest.txt, 1, AOR,20220207, 334, Zaktualizowany,09/02/2022 23:44:14,
updatetest.txt, 2, ATH,20220207, 254, Zaktualizowany,09/02/2022 23:44:14,
updatetest.txt, 0, AEX,20220207, 111, Zaktualizowany,09/02/2022 23:46:05,
updatetest.txt, 1, AOR,20220207, 334, Zaktualizowany,09/02/2022 23:46:05,
updatetest.txt, 2, ATH,20220207, 254, Zaktualizowany,09/02/2022 23:46:05,
updatetest.txt, 0, AEX,20220207, 1, Zaktualizowany,09/02/2022 23:48:12,
updatetest.txt, 1, AOR,20220207, 334, Zaktualizowany,09/02/2022 23:48:12,
updatetest.txt, 2, ATH,20220207, 254, Zaktualizowany,09/02/2022 23:48:12,
updatetest.txt, 0, AEX,20220209, 11, Nowy wiersz,09/02/2022 23:48:56,
updatetest.txt, 1, AOR,20220207, 334, Zaktualizowany,09/02/2022 23:48:56,
